AOI,Plot_ID,Species,total_AGB (g),AGB (g/m2),Mean Canopy Height (m)
2,S2P26,Tribulus_terrestris,40.7,119.005848,0.008574249
2,S2P27,Stipagrostis_uniplumis,87.18,254.9122807,0.012195224
2,S2P28,Stipagrostis_uniplumis,40.9,119.5906433,0.021606976
2,S2P29,Schmidtia_kalihariensis,29.36,85.84795322,0.012509793
2,S2P30,Stipagrostis_uniplumis,109.59,320.4385965,0.047119942
3,S3P01,Stipagrostis_uniplumis,72.17,211.0233918,0.30166927
3,S3P02,Stipagrostis_uniplumis,81.48,238.245614,0.008997109
3,S3P03,Tall_Bushman,93.29,272.7777778,0.090195157
3,S3P04,Stipagrostis_uniplumis,22.15,64.76608187,0.008128639
3,S3P05,Eragrostis_pallens,91.04,266.1988304,0.122959428
3,S3P06,Stipagrostis_uniplumis,45.04,131.6959064,0.050071664
3,S3P07,Tall_Bushman,113.07,330.6140351,0.04740525
3,S3P08,Stipagrostis_uniplumis,78.87,230.6140351,0.036811404
3,S3P09,Stipagrostis_uniplumis,37.86,110.7017544,0.008033516
3,S3P10,Tall_Bushman,149.24,436.374269,0.132008538
3,S3P11,Schmidtia_pappophoroides,88.98,260.1754386,0.071152821
3,S3P12,Eragrostis_pallens,135.94,397.4853801,0.024889154
3,S3P13,Tall_Bushman,188.46,551.0526316,0.146945342
3,S3P14,Stipagrostis_uniplumis,229.93,672.3099415,0.255726308
3,S3P15,Stipagrostis_uniplumis,189.88,555.2046784,0.221044704
3,S3P16,Stipagrostis_uniplumis,137.53,402.1345029,0.067116022
3,S3P17,Tall_Bushman,109.83,321.1403509,0.10019774
3,S3P18,Stipagrostis_uniplumis,7.94,23.21637427,0.022376878
3,S3P19,Schmidtia_pappophoroides,16.34,47.77777778,0.016533133
3,S3P20,Schmidtia_pappophoroides,131.64,384.9122807,0.179439649
3,S3P21,Stipagrostis_uniplumis,192.53,562.9532164,0.087391146
3,S3P22,Schmidtia_pappophoroides,68.82,201.2280702,0.051079772
3,S3P23,Stipagrostis_uniplumis,78.97,230.9064327,0.016503988
3,S3P24,Tall_Bushman,119.65,349.8538012,0.098508134
3,S3P25,Tall_Bushman,88.67,259.2690058,0.023378871
3,S3P26,Tall_Bushman,98.88,289.122807,0.047065649
3,S3P27,Stipagrostis_uniplumis,33.76,98.71345029,0.009836124
3,S3P28,Schmidtia_pappophoroides,100.28,293.2163743,0.113346972
3,S3P29,Schmidtia_kalihariensis,27.54,80.52631579,0.096569069
3,S3P30,Schmidtia_pappophoroides,170.57,498.7426901,0.011109891
