Harvest_plot_ID,Species,Dry_weight_g,Ecological_class,Weight,grazing_value,Mean_Canopy_Height(m),NDVI,EVI,OSAVI,TDVI,GDVI
S1P20,Tribulus terrestris,11.5,5,1,11.93,0.011065424,0.192275509,-11.08432198,0.192275017,0.435940355,9666.166016
S1P21,Tribulus terrestris,8.4,5,1,15.35,0.005599708,0.055269174,-0.477443248,0.055269051,0.136231601,2756.614746
S1P22,Tribulus terrestris,34.09,5,1,34.87,0.005545678,0.13567856,-1.268562555,0.135678217,0.341237873,7738.902344
S1P23,Tribulus terrestris,17.52,5,1,18.93,0.005345363,0.093530014,0.224004015,0.093529798,0.245856568,5895.126953
S1P24,Tribulus terrestris,15.53,5,1,19.71,0.011526893,0.143219769,-0.166488171,0.143219396,0.322749346,6438.959961
S1P25,Stipagrostis uniplumis,5.35,3,5,47.21,0.046475358,0.178001553,0.182843819,0.178001136,0.40906018,8638.150391
S1P26,Stipagrostis uniplumis,8.35,3,5,77.44,0.024595976,0.235090226,-6.107622147,0.235089615,0.542590618,9815.865234
S1P27,Tribulus terrestris,24.31,5,1,24.85,0.016770435,0.113626547,0.202170804,0.113626212,0.271946669,5471.979004
S1P28,Tribulus terrestris,60.88,5,1,80.09,0.041990221,0.29951489,3.040246964,0.299514025,0.654640853,14687.93457
S1P29,Stipagrostis uniplumis,22.28,3,5,114.14,0.006548752,0.141156256,2.176799536,0.141155794,0.34785217,5641.28125
S1P30,Stipagrostis uniplumis,37.98,3,5,196.89,0.023593675,0.117334843,-1.055860758,0.117334537,0.286592007,6358.852051
S2P01,Schmidtia kalihariensis,25.25,5,1,25.47,0.009235649,0.24498187,-0.53937757,0.24498114,0.539313495,8670.446289
S2P02,Schmidtia kalihariensis,15.36,5,1,18.3,0.014859102,0.141846925,-0.405230105,0.141846552,0.32433188,4104.004883
S2P03,Schmidtia kalihariensis,20.52,5,1,20.52,0.019226111,0.207195714,-8.32528019,0.207195163,0.473069072,8432.738281
S2P04,Stipagrostis uniplumis,289.65,3,5,1452.74,0.115303524,0.219682992,-0.51196444,0.219682232,0.513837397,8471.349609
S2P05,Stipagrostis uniplumis,177.55,3,5,892.53,0.024649246,0.22734426,15.03297615,0.227343604,0.53395921,9089.214844
S2P06,Stipagrostis uniplumis,154.14,3,5,782.37,0.082453005,0.135449186,-0.463754177,0.135448694,0.333757579,4971.981934
S2P07,Schmidtia kalihariensis,16.69,5,1,24.89,0.012806531,0.159848705,-2.463151693,0.159848228,0.37307477,5364.50293
S2P08,Tribulus terrestris,49.58,5,1,60.39,0.084626764,0.342173278,9.032855034,0.342172176,0.723906815,15059.4248
S2P09,Tribulus terrestris,38.18,5,1,46.9,0.052185129,0.267799199,0.484111667,0.267798305,0.588573098,9650.837891
S2P10,Tribulus terrestris,34.81,5,1,42.87,0.0898811,0.307452917,-1.392239809,0.307451993,0.639008939,17020.13281
S2P11,Stipagrostis uniplumis,70.8,3,5,371.87,0.041789904,0.14765054,-1.575159073,0.147650078,0.357653141,4226.182129
S2P12,Tribulus terrestris,56.13,5,1,56.23,0.039300244,0.326659322,0.24407123,0.326658219,0.702914119,14483.17871
S2P13,Tribulus terrestris,33.02,5,1,41.93,0.08508575,0.336936027,-0.225743219,0.336935014,0.709574401,15667.9502
S2P14,Schmidtia kalihariensis,25.25,5,1,27.56,0.010585937,0.252766401,-1.346244335,0.252765685,0.562864423,8921.655273
S2P15,Tribulus terrestris,27.51,5,1,33.61,0.006244821,0.157782868,-1.194039583,0.157782435,0.365922987,5857.833984
S2P16,Tribulus terrestris,33.06,5,1,47.45,0.044647336,0.233825743,0.508593798,0.233825043,0.496995062,9114.983398
S2P17,Schmidtia kalihariensis,18.54,5,1,23.37,0.008487211,0.229640648,-0.459602714,0.229639977,0.522152722,10305.93066
S2P18,Stipagrostis uniplumis,34.48,3,5,179.76,0.012442925,0.068916373,-0.059379522,0.068916187,0.163254395,2124.736816
S2P19,Schmidtia kalihariensis,23.13,5,1,23.66,0.016819205,0.209720463,-0.730308533,0.209719792,0.464380592,6246.996094
S2P20,Stipagrostis uniplumis,250.63,3,5,1253.15,0.111316085,0.154355541,-0.696418643,0.154354885,0.351406932,2409.103027
S2P21,Stipagrostis uniplumis,157.52,3,5,793.15,0.115486056,0.023625823,-0.114459753,0.02362573,0.046053965,-2196.485107
S2P22,Schmidtia kalihariensis,32.46,5,1,40.38,0.026190871,0.246171117,-39.69353485,0.246170342,0.523488641,8706.887695
S2P23,Tribulus terrestris,28.57,5,1,35.87,0.023049757,0.258626908,-22.64729118,0.258626163,0.569778502,12775.86426
S2P24,Tribulus terrestris,23.99,5,1,31.51,0.019692067,0.158884317,-0.488456786,0.15888378,0.368200153,4907.540527
S2P25,Schmidtia kalihariensis,12.87,5,1,13.55,0.012759604,0.080545701,-0.422469407,0.080545425,0.161212295,5223.175293
S2P26,Tribulus terrestris,36.52,5,1,40.7,0.008574249,0.162979782,-9.269069672,0.162979275,0.374024689,6992.352539
S2P27,Stipagrostis uniplumis,81.51,3,5,413.22,0.012195224,0.122353144,-0.978879333,0.122352712,0.283963978,6131.544434
S2P28,Stipagrostis uniplumis,32.46,3,5,170.74,0.021606976,0.190505102,-0.47726509,0.190504491,0.442801416,6262.992188
S2P29,Schmidtia kalihariensis,27.52,5,1,29.36,0.012509793,0.173818111,-0.259400636,0.17381762,0.390134484,5377.197754
S2P30,Stipagrostis uniplumis,96.26,3,5,494.63,0.047119942,0.070370749,-0.409679919,0.07037048,0.177578434,908.6340332
S3P01,Schmidtia pappophoroides,32.92,2,7,426.69,0.30166927,0.119315751,0.766345382,0.119315274,0.305278778,2410.946777
S3P02,Stipagrostis uniplumis,74.5,3,5,421.36,0.008997109,0.122158304,-0.082584307,0.122157834,0.287362128,1327.164673
S3P03,Tall Bushman,93.29,2,7,653.03,0.090195157,0.036050763,0.355160028,0.036050584,0.076175265,-692.6140137
S3P04,Stipagrostis uniplumis,13.51,3,5,128.03,0.008128639,0.024026567,-0.059494264,0.024026504,0.051713269,-904.2775879
S3P05,Stipagrostis uniplumis,34.37,3,5,228.52,0.122959428,0.233292311,-0.623044372,0.233291447,0.543323219,5602.061523
S3P06,Stipagrostis uniplumis,45.04,3,5,225.2,0.050071664,0.00978388,-0.069240667,0.009783828,0.020816168,-2097.114258
S3P07,Tall Bushman,113.07,2,7,791.49,0.04740525,0.211215958,-0.844326675,0.211215213,0.503687263,5027.65625
S3P08,Stipagrostis uniplumis,78.87,3,5,394.35,0.036811404,0.121698052,5.067526817,0.121697582,0.294709295,2684.502441
S3P09,Stipagrostis uniplumis,37.86,3,5,189.3,0.008033516,0.111718349,-0.584972918,0.111717984,0.287239939,3186.072998
S3P10,Tall Bushman,137.52,2,7,1021.24,0.132008538,0.066728488,0.178275779,0.066728242,0.17686902,1930.072021
S3P11,Schmidtia pappophoroides,73.72,2,7,592.34,0.071152821,0.145271033,-1.243007421,0.145270482,0.360615969,3490.313232
S3P12,Eragrostis pallens,135.94,5,1,135.94,0.024889154,0.187523142,-0.856662631,0.187522337,0.437950194,4179.386719
S3P13,Tall Bushman,143.49,2,7,1229.28,0.146945342,0.070175655,-0.641226351,0.070175283,0.182963178,369.6118774
S3P14,Stipagrostis uniplumis,229.93,3,5,1149.65,0.255726308,0.417770624,-0.443746686,0.417768985,0.865239263,13486.8291
S3P15,Stipagrostis uniplumis,189.88,3,5,949.4,0.221044704,0.208878458,0.079208873,0.208877102,0.469982713,2923.393555
S3P16,Stipagrostis uniplumis,137.53,3,5,687.65,0.067116022,0.247156084,-2.874533892,0.24715519,0.574160397,8515.353516
S3P17,Tall Bushman,59.16,2,7,667.47,0.10019774,0.052277561,0.080172151,0.052277334,0.110971279,-732.9073486
S3P18,Stipagrostis uniplumis,4.02,3,5,24.02,0.022376878,0.015993934,-0.208277166,0.015993897,0.041647628,-416.4829407
S3P19,Schmidtia pappophoroides,16.34,2,7,114.38,0.016533133,-0.020466471,0.08278922,-0.020466432,-0.077387825,-4506.577148
S3P20,Schmidtia pappophoroides,131.64,2,7,921.48,0.179439649,0.079220392,0.870703399,0.079220071,0.210790694,46.12041092
S3P21,Stipagrostis uniplumis,192.53,3,5,962.65,0.087391146,0.019837832,-0.062223207,0.019837741,0.038859759,-2098.628662
S3P22,Schmidtia pappophoroides,60.73,2,7,465.56,0.051079772,0.10482353,-1.875052571,0.104823165,0.261883438,2038.109009
S3P23,Stipagrostis uniplumis,78.97,3,5,394.85,0.016503988,0.162962601,0.163245052,0.162962094,0.392588943,4696.20459
S3P24,Tall Bushman,119.65,2,7,837.55,0.098508134,0.017704349,0.280040354,0.017704282,0.034903713,-1199.887817
S3P25,Tall Bushman,46.03,2,7,501.05,0.023378871,0.090430275,-0.989995658,0.090429932,0.21822083,1618.524536
S3P26,Tall Bushman,82.44,2,7,659.28,0.047065649,0.011823738,0.563257694,0.01182369,0.022758627,-1572.372314
S3P27,Stipagrostis uniplumis,32.65,3,5,164.36,0.009836124,0.047254719,-0.192124695,0.047254574,0.127504349,1184.280396
S3P28,Schmidtia pappophoroides,100.28,2,7,701.96,0.113346972,0.158958972,-1.300595999,0.158958286,0.377545953,2907.693604
S3P29,Tall Bushman,11.17,2,7,94.56,0.096569069,0.124999009,-3.127613783,0.124998443,0.316489369,1962.678101
S3P30,Schmidtia pappophoroides,130.54,2,7,1113.93,0.011109891,0.030767344,-0.573877275,0.030767221,0.085267417,-1418.146729
